施設名,Lat,Lng,最近身体が痛いな…,やせたい!,身体の状態を知りたい!,きれいになりたい!,みんなでワイワイ!,新感覚!?,一人で参加OK!,親子でエンジョイ!,若者には負けないぞ!,子どもに運動を!,まずは体験!,習いたい!,住所,電話,URL
アゼリア大正,34.64725,135.472161,,,,,1,1,1,,,,1,,大正区小林東3-3-25,06-6552-9713,
もと平野青少年会館付設体育館,34.626342,135.55722,,,,1,1,1,1,,1,,,,平野区平野市町3-2-12,,
ヤンマースタジアム長居,34.613917,135.5164323,,,,,1,,1,,1,,,,東住吉区長居公園1-1,06-6691-2500,
阿倍野スポーツセンター,34.64200609273101,135.51078088394834,,,,,1,1,1,,,1,1,1,阿倍野区3-10-1,06-6647-0086,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/abenosc/index.html
阿倍野屋内プール,34.64363903370655,135.50981407212382,,,,1,,,1,1,1,1,,,阿倍野区阿倍野筋3-13-23,06-6636-7290,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/abenookunaipool/index.html
旭スポーツセンター,34.71689684095193,135.54072779599622,,,,1,1,,1,,1,,,,旭区高殿5-3-25,06-6951-6575,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/asahisportscenter/index.html
旭屋内プール,34.717633,135.546227,,,,1,,,1,1,1,1,1,,旭区高殿6-14-6,06-6955-6491,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/asahiokunaipool/index.html
下福島プール,34.689972101592204,135.48248866865381,,,,1,,,1,1,1,1,1,1,福島区福島4-1-82,06-6444-3450,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/shimofukushimapool/index.html
港スポーツセンター,34.66190589952346,135.44557801652345,,,,1,1,,1,,1,,,,港区田中3-1-128,06-6576-4081,http://osakashi.opas.jp/chikubetu/seibu/minato/minatosportscenter/index.html
此花スポーツセンター,34.6814689,135.4630332,1,,1,,1,,1,,1,,,,此花区西九条6-1-27,06-6465-5800,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanasportscenter/index.html
此花屋内プール,34.6835579,135.4646219,1,,,1,,,1,1,1,1,,1,此花区西九条5-4-21,06-6465-6700,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanaokunaipool/index.html
桜橋ボウル,34.698701,135.492372,,,,,,,,1,,1,,,北区梅田2-4-2,,
山之内西庭球場,34.588845,135.500392,,,,,1,1,1,,,1,,,住吉区山之内5,,
住吉スポーツセンター,34.592203142714844,135.51126395299238,,,,,,,1,1,,1,,1,住吉区浅香1-8-15,06-6694-9201,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/sumiyoshispc/index.html
住吉屋内プール,34.591978,135.511239,1,,,1,,,1,1,,1,,,住吉区浅香1-8-15,06-6694-9201,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/sumiyoship/index.html
住之江スポーツセンター,34.6237249,135.4754138,,,,,1,1,1,,1,,1,,住之江区北加賀屋5-3-47,06-6686-4172,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/suminoesc/index.html
住之江屋内プール,34.623672,135.4754252,1,1,,1,,,1,1,1,1,,,住之江区北加賀屋5-3-47,06-6686-4163,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/suminoeop/index.html
城東スポーツセンター,34.6915893,135.5364691,,,,,1,,1,,1,,,,城東区鴫野西2-1-21,06-6965-1391,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/jotosportscenter/index.html
城東屋内プール,34.7066827484071,135.55315284384852,1,,1,,,,1,1,,1,,,城東区関目2-17-45,06-4255-0230,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/jotookunaipool/index.html
城東区民センター,34.703266,135.5422388,,,,,1,1,1,,,,1,,城東区中央3-5-45,,
真田山プール,34.6710029,135.5283829,,,,,,,1,1,,1,,,天王寺区真田山町5-109,06-6765-0176,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/sanadayama_pool/index.html
生野スポーツセンター,34.6532391,135.5441922,,,,,1,1,1,1,1,1,,,生野区巽西1-1-3,06-6758-4500,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/ikunosportscenter/index.html
生野屋内プール,34.66066050050386,135.53541875266706,1,,1,,,,1,1,,1,,,生野区桃谷3-8-18,06-6731-7381,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/ikunookunaipool/index.html
西スポーツセンター,34.68066109580034,135.4876582485351,,,,1,1,1,1,1,1,1,1,,西区立売堀4-10-18,06-6538-3413,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishisportscenter/index.html
西屋内プール,34.67799,135.481875,,,,,,,1,1,1,1,1,1,西区本田1-4-16,06-6581-7601,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishiokunaipool/index.html
西成スポーツセンター,34.62815602678304,135.49558880044213,1,1,1,1,1,,1,,1,1,,1,西成区玉出東1-6-1,06-4398-1603,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/ninarispc/index.html
西成屋内プール,34.62815602678304,135.49558880044213,,1,,,,,1,1,1,1,,,西成区玉出東1-6-1,06-4398-1603,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/ninariop/index.html
西淀川スポーツセンター,34.71736,135.477959,,,,,1,,1,,1,,,,西淀川区野里2-10-35,06-6472-9200,http://osakashi.opas.jp/genre/Table_tennis/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/nishiyodo_spocen/index.html
西淀川屋内プール,34.7032303,135.4425017,1,1,,1,,1,1,,1,1,1,,西淀川区大和田2-5-7,06-6474-9940,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/nishiyodo_pool/index.html
千島体育館,34.64942,135.4704023,,,,,1,,1,,1,,,,大正区千島2-7-93,06-6553-7800,
扇町プール,34.70355815976364,135.50985584378452,,,,1,,,1,1,1,1,,,北区扇町1-1,06-6363-8911,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/pool/index.html
大空小学校,34.6051858,135.5060391,,,,1,1,1,1,,1,1,1,1,住吉区我孫子西1-6-12,,
大阪プール,34.660849288091036,135.44743685542514,,,,1,,,1,1,1,1,,,港区田中3-1-20,06-6571-2010,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/osakapool/index.html
大阪弓道場,34.6863276,135.5336037,,,,,,,1,,1,,1,,中央区大阪城3-4,06-6941-9921,http://www.osaka-sp.jp/kyudojo/
大阪城公園太陽の広場,34.6876723,135.5296412,,,,,1,1,1,1,,1,,,中央区大阪城5,,
大正スポーツセンター,34.6473442,135.4720889,,,,,1,,1,,1,,,,大正区小林東3-3-25,06-6555-8402,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/taishosportscenter/index.html
大正屋内プール,34.6474779,135.4722782,,,,,,,1,1,,1,,,大正区小林東3-3-25,06-6555-8950,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/taishookunaipool/index.html
巽小学校,34.6460821,135.549572,,,,,,,1,1,1,1,,,生野区巽中3-12-5,,
中央スポーツセンター,34.671682979931305,135.50788920704875,1,,,1,,,1,1,1,1,1,,中央区島之内2-12-31,06-6211-2010,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tyuuou_spocen/index.html
中央屋内プール,34.6714111,135.5089672,,1,,1,,,1,1,1,1,,1,中央区島之内2-7-8,06-6212-5473,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tyuuou_pool/index.html
中央体育館,34.6594842,135.4425567,1,,,,,,1,,1,,,,港区田中3-1-40,06-6576-0800,
長居プール,34.61463300974648,135.5201330197925,,,,,,1,1,1,,1,1,,東住吉区長居公園1-1,06-6609-1580,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/pool/index.html
長居障がい者スポーツセンター,34.6124312,135.5125144,1,,1,,,,1,,1,,1,,東住吉区長居公園1-32,06-6697-8681,
長居庭球場,34.613391,135.512375,,,,,1,,1,,1,,,,東住吉区長居公園1-1,06-6698-1235,
鶴見スポーツセンター,34.7106579,135.5771938,,,,,1,1,1,,1,1,1,,鶴見区緑地公園内(元花博国際展示館「水の館」),06-6315-2567,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/tsurumisportscenter/index.html
鶴見緑地プール,34.7092888,135.5810172,,,,,,,1,1,,1,,,鶴見区緑地公園1-37,06-6915-4721,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/tsurumiryokuchipool/index.html
鶴見緑地球技場,34.706155837748604,135.581308290641,,,,,1,1,1,,,1,,,鶴見区浜1-1-37,06-6915-4712,
鶴見緑地庭球場,34.706779,135.5775363,,,,,1,,1,,1,1,,1,鶴見区浜1-2-6,06-6915-2500,
天王寺スポーツセンター,34.6708559,135.5284813,,,,,1,1,1,1,1,1,,,天王寺区真田山町5-109,06-6576-0800,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tennoji_sportscenter/index.html
都島スポーツセンター,34.70791711671812,135.52218926347783,1,,1,,1,1,1,,1,,1,,都島区中野町5-15-21,06-6927-9124,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/miyakojimasportscenter/index.html
東住吉スポーツセンター,34.59864990054361,135.52620271158847,1,,,1,1,,1,,1,,,1,東住吉区公園南矢田4-30-3,06-6694-4580,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/higashisumiyoshi_spocen/index.html
東成スポーツセンター,34.6789919,135.5480392,,,,1,1,1,1,,1,,1,,東成区東中本2-11-30,06-6973-5166,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/higashinarisuportscenter/index.html
東淀川スポーツセンター,34.73450787036127,135.51947814795037,,,,,1,,1,,1,1,1,1,東淀川区東淡路1-4-21,06-6321-7182,http://osakashi.opas.jp/genre/Table_tennis/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/higashiyodo_spocen/index.html
東淀川屋内プール,34.734083,135.5197557,1,,1,1,,1,1,1,1,1,1,,東淀川区東淡路1-4-53,06-6325-5077,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/higashiyodo_pool/index.html
東淀川体育館,34.7324891,135.5054328,,,,,1,,1,,1,,,,東淀川区東中島4-4-4,06-6321-0003,http://osakashi.opas.jp/genre/Table_tennis/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/taiikukan/index.html
湯里小学校,34.6104131,135.537514,,,,,1,1,1,1,1,1,,1,東住吉区湯里6-8-3,,
府民共済SUPERアリーナ,34.6655797,135.395422,,,,,1,,1,1,,1,,,此花区北港2-2-15,,http://www.osaka-fa.jp/
舞洲障がい者スポーツセンター,34.667963,135.405933,,,,,1,,1,,1,,,,此花区北港白津2-1-46,06-6465-8200,
福島スポーツセンター,34.6913002,135.473119,,,,,1,1,1,,1,,,,福島区吉野3-17-23,06-6468-0450,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/fukushimasprotscenter/index.html
福島区民センター,34.6913002,135.473119,1,,1,,,,1,,,,,,福島区吉野3-17-23,06-6468-1771,
平野スポーツセンター,34.617518839300615,135.5602499837507,,,,1,1,,1,,1,,,,平野区平野南4-6-1,06-6709-1255,http://osakashi.opas.jp/genre/Table_tennis/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/spocen/index.html
平野屋内プール,34.617518839300615,135.5602499837507,,1,,,,,1,1,1,1,,,平野区平野南4-6-1,06-6709-1255,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/hirano_pool/index.html
北スポーツセンター,34.710306045244856,135.49253273184556,1,,,1,1,,1,,1,,,,北区中津3-4-27,06-6359-0700,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/kita_spocen/index.html
淀川スポーツセンター,34.7345345,135.4940372,1,,1,,1,1,1,,1,1,1,1,淀川区西宮原2-1-3,06-6350-4555,http://osakashi.opas.jp/genre/Table_tennis/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/spocen/index.html
淀川屋内プール,34.721306,135.4868477,,,,,,,1,1,,1,,,淀川区十三東2-3-1,06-6885-1711,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/yodogawa_pool/index.html
浪速スケートリンク,34.6614581,135.4993503,,,,1,,,1,,1,,,,浪速区難波中3-8-8,06-6643-6444,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/naniwa_spocen/index.html
浪速スポーツセンター,34.661614,135.4993327,1,,1,,1,1,1,,,,1,1,浪速区難波中3-8-8,06-6643-6444,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/naniwa_spocen/index.html
浪速屋内プール,34.6615361,135.4993327,,1,,1,,,1,1,1,1,,,浪速区難波中3-8-8,06-6643-6444,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/naniwa_pool/index.html